category,amount,hour,is_weekend,requires_review
Food & Meals,849.78,19,0,0
Office Supplies,1484.95,13,0,0
Office Supplies,8983.13,16,0,1
Travel & Commute,2283.79,14,0,1
Travel & Commute,820.66,15,0,0
Food & Meals,778.56,15,0,0
Travel & Commute,630.06,11,0,0
Food & Meals,659.1,9,0,0
Utilities,3454.44,13,0,0
Utilities,3746.24,10,0,0
Travel & Commute,257.97,19,0,0
Utilities,2421.45,17,0,0
Food & Meals,935.82,14,0,0
Food & Meals,792.72,18,0,0
Food & Meals,704.0,9,0,0
Travel & Commute,2187.89,15,1,1
Utilities,3514.75,11,0,0
Contractors,26737.91,17,0,0
Contractors,196961.51,15,0,1
Hosting & Software,7190.36,11,0,0
Utilities,2877.36,14,0,0
Office Supplies,1578.34,14,0,0
Utilities,2717.3,12,0,0
Food & Meals,852.06,11,0,0
Office Supplies,2742.32,23,1,1
Food & Meals,1351.65,2,1,1
Hosting & Software,5446.12,14,1,0
Travel & Commute,805.83,11,0,0
Utilities,3878.08,10,0,0
Contractors,26280.15,10,0,0
Hosting & Software,9474.04,11,0,0
Food & Meals,1166.37,16,0,0
Travel & Commute,802.87,17,0,0
Utilities,2027.3,12,0,0
Travel & Commute,344.08,13,0,0
Contractors,73076.18,4,1,1
Utilities,6920.64,23,1,1
Travel & Commute,475.04,10,0,0
Travel & Commute,605.22,10,0,0
Hosting & Software,8776.49,10,0,0
Contractors,21371.28,14,0,0
Hosting & Software,8280.15,10,0,0
Office Supplies,1197.85,9,0,0
Contractors,21942.41,11,0,0
Food & Meals,398.33,14,0,0
Office Supplies,1130.71,18,0,0
Contractors,18241.58,16,1,0
Office Supplies,1109.65,14,0,0
Office Supplies,14159.48,11,0,1
Contractors,167243.82,18,0,1
Food & Meals,1013.41,15,0,0
Travel & Commute,410.12,15,0,0
Office Supplies,2552.95,12,0,0
Utilities,3894.65,17,0,0
Hosting & Software,8277.25,10,1,0
Utilities,2813.31,16,0,0
Hosting & Software,51781.98,18,0,1
Food & Meals,925.08,9,0,0
Contractors,22121.81,10,0,0
Office Supplies,1548.8,15,0,0
Contractors,37800.42,19,0,0
Travel & Commute,580.79,15,0,0
Food & Meals,3496.98,7,1,1
Utilities,8754.21,1,1,1
Contractors,30746.37,17,0,0
Utilities,2937.46,9,0,0
Utilities,3472.01,17,0,0
Food & Meals,1192.7,12,0,0
Office Supplies,1249.21,9,0,0
Utilities,4949.96,19,0,0
Travel & Commute,741.55,16,0,0
Travel & Commute,487.51,12,0,0
Food & Meals,1614.82,2,1,1
Utilities,4005.93,10,1,0
Utilities,4278.04,14,0,0
Utilities,3997.45,9,0,0
Utilities,2243.82,15,0,0
Travel & Commute,454.57,18,0,0
Office Supplies,1400.99,18,0,0
Hosting & Software,7888.35,14,0,0
Hosting & Software,8931.01,16,0,0
Food & Meals,3380.58,19,1,1
Office Supplies,1571.08,14,0,0
Office Supplies,965.86,13,0,0
Office Supplies,1652.08,13,0,0
Food & Meals,902.65,19,1,0
Travel & Commute,711.96,16,0,0
Hosting & Software,9621.17,15,0,0
Office Supplies,1833.57,12,0,0
Food & Meals,864.8,17,0,0
Office Supplies,1471.93,11,1,0
Contractors,16695.2,11,0,0
Utilities,3843.69,9,0,0
Travel & Commute,641.54,12,1,0
Office Supplies,1608.63,12,0,0
Food & Meals,430.81,19,0,0
Contractors,118049.17,14,0,1
Food & Meals,479.74,14,0,0
Hosting & Software,9579.73,10,0,0
Food & Meals,2002.31,2,1,1
Travel & Commute,592.09,19,0,0
Contractors,28407.5,9,0,0
Contractors,205921.44,18,0,1
Office Supplies,1511.33,18,0,0
Hosting & Software,8044.63,19,0,0
Food & Meals,984.57,16,0,0
Food & Meals,620.99,17,0,0
Food & Meals,774.03,9,0,0
Contractors,22688.62,14,0,0
Utilities,3152.4,13,0,0
Food & Meals,3826.12,8,1,1
Contractors,23454.14,19,0,0
Travel & Commute,644.43,12,0,0
Utilities,3117.0,14,0,0
Contractors,149841.82,8,1,1
Food & Meals,1063.94,9,0,0
Utilities,2784.31,14,0,0
Travel & Commute,562.63,19,0,0
Contractors,22801.34,13,0,0
Contractors,32234.89,11,0,0
Food & Meals,799.14,13,0,0
Utilities,4325.48,11,0,0
Hosting & Software,5771.66,12,0,0
Contractors,26335.25,15,0,0
Hosting & Software,9334.45,18,0,0
Office Supplies,1532.91,19,0,0
Utilities,26258.35,15,0,1
Utilities,4352.38,9,0,0
Travel & Commute,496.54,12,0,0
Utilities,4627.48,16,0,0
Contractors,36494.49,10,0,0
Contractors,23185.81,14,0,0
Office Supplies,1321.8,12,0,0
Travel & Commute,890.68,11,0,0
Office Supplies,2131.83,15,0,0
Food & Meals,619.28,16,0,0
Office Supplies,1331.93,14,0,0
Hosting & Software,7577.32,17,0,0
Contractors,46830.87,3,1,1
Hosting & Software,5983.32,15,0,0
Hosting & Software,6622.02,9,0,0
Hosting & Software,6493.79,17,0,0
Hosting & Software,6848.3,19,0,0
Hosting & Software,7947.97,16,0,0
Travel & Commute,646.84,15,1,0
Travel & Commute,910.1,11,0,0
Office Supplies,1100.66,11,0,0
Contractors,29921.61,9,0,0
Contractors,23930.06,17,0,0
Utilities,3460.43,19,0,0
Office Supplies,10625.82,15,0,1
Office Supplies,1769.93,16,0,0
Travel & Commute,375.46,19,1,0
Food & Meals,845.6,19,0,0
Utilities,3633.16,11,0,0
Office Supplies,1696.98,18,0,0
Office Supplies,1615.67,16,0,0
Travel & Commute,1091.06,17,0,0
Hosting & Software,7043.39,13,0,0
Utilities,3075.2,12,0,0
Food & Meals,594.21,9,1,0
Office Supplies,1277.81,18,0,0
Travel & Commute,472.52,17,1,0
Contractors,30945.08,13,0,0
Food & Meals,1105.13,13,0,0
Office Supplies,14056.05,13,0,1
Hosting & Software,7143.88,14,0,0
Office Supplies,7572.54,11,0,1
Contractors,20838.22,14,0,0
Food & Meals,867.85,13,0,0
Office Supplies,1279.11,14,0,0
Food & Meals,908.23,16,0,0
Food & Meals,800.73,16,0,0
Contractors,17421.28,11,0,0
Contractors,32737.53,11,0,0
Utilities,4936.7,18,0,0
Travel & Commute,477.44,14,0,0
Contractors,23061.49,11,0,0
Food & Meals,821.47,15,0,0
Office Supplies,1633.78,14,1,0
Contractors,28292.72,18,0,0
Travel & Commute,1002.04,19,0,0
Utilities,3358.44,18,1,0
Contractors,21008.51,16,0,0
Contractors,18103.4,11,0,0
Utilities,2915.26,18,1,0
Contractors,24834.37,17,0,0
Food & Meals,1198.64,10,0,0
Hosting & Software,7223.58,13,1,0
Travel & Commute,644.76,15,0,0
Travel & Commute,3301.89,14,0,1
Food & Meals,745.89,10,0,0
Contractors,30941.97,10,0,0
Office Supplies,2510.77,9,0,0
Utilities,3075.3,19,0,0
Utilities,3108.45,19,0,0
Hosting & Software,9566.24,9,0,0
Food & Meals,920.47,18,0,0
Contractors,34233.54,16,0,0
Contractors,27919.64,14,0,0
Contractors,23203.54,13,0,0
Hosting & Software,8885.98,9,0,0
Food & Meals,1027.18,15,0,0
Utilities,4156.39,10,0,0
Food & Meals,876.82,12,0,0
Office Supplies,1926.67,9,0,0
Contractors,30846.48,16,0,0
Utilities,4605.73,11,0,0
Office Supplies,1759.48,9,0,0
Food & Meals,708.22,16,0,0
Travel & Commute,629.34,11,0,0
Travel & Commute,841.3,19,0,0
Hosting & Software,6774.6,15,0,0
Utilities,3794.94,12,0,0
Hosting & Software,7409.99,16,0,0
Travel & Commute,605.75,17,0,0
Contractors,31392.26,14,0,0
Utilities,3652.88,12,0,0
Contractors,25232.18,14,0,0
Travel & Commute,328.03,19,0,0
Travel & Commute,749.25,19,0,0
Office Supplies,1758.19,17,0,0
Utilities,5230.6,15,0,0
Utilities,3253.78,15,0,0
Utilities,3675.32,15,0,0
Contractors,134386.56,5,1,1
Contractors,26246.92,9,0,0
Hosting & Software,10366.18,17,1,0
Food & Meals,726.18,19,0,0
Travel & Commute,655.8,17,0,0
Utilities,3986.32,13,0,0
Office Supplies,1574.64,15,0,0
Contractors,22767.83,17,1,0
Contractors,25970.45,18,0,0
Food & Meals,1018.41,19,0,0
Contractors,19867.42,18,0,0
Utilities,3606.38,12,0,0
Travel & Commute,459.98,10,0,0
Travel & Commute,839.01,10,0,0
Food & Meals,369.2,13,0,0
Utilities,3052.86,9,0,0
Contractors,26886.06,9,0,0
Hosting & Software,10348.29,19,0,0
Contractors,24671.25,18,0,0
Office Supplies,1277.92,14,0,0
Travel & Commute,976.23,17,0,0
Utilities,2341.59,10,0,0
Travel & Commute,160.24,14,0,0
Travel & Commute,688.0,18,0,0
Utilities,3098.36,19,1,0
Contractors,19893.84,12,0,0
Utilities,4066.69,12,0,0
Contractors,26219.0,15,0,0
Office Supplies,1274.37,17,0,0
Office Supplies,987.88,14,0,0
Utilities,4197.97,9,0,0
Contractors,28251.01,17,1,0
Office Supplies,1460.33,17,0,0
Contractors,61106.79,2,1,1
Contractors,34233.18,10,0,0
Contractors,19649.58,15,0,0
Office Supplies,889.79,11,1,0
Contractors,21540.46,10,1,0
Travel & Commute,590.88,17,1,0
Travel & Commute,648.67,15,0,0
Contractors,23793.82,14,1,0
Contractors,26760.28,9,0,0
Utilities,8324.44,1,1,1
Hosting & Software,6122.69,10,0,0
Contractors,32218.82,10,0,0
Food & Meals,729.46,19,1,0
Travel & Commute,823.46,11,0,0
Utilities,3774.18,19,0,0
Contractors,27283.77,19,0,0
Office Supplies,1727.91,17,0,0
Office Supplies,3136.68,23,1,1
Office Supplies,1679.08,14,0,0
Contractors,28213.61,11,0,0
Travel & Commute,865.83,13,0,0
Travel & Commute,639.3,18,0,0
Utilities,4067.2,17,1,0
Contractors,149677.2,18,0,1
Food & Meals,727.57,14,0,0
Contractors,32200.59,13,0,0
Travel & Commute,464.72,16,0,0
Contractors,34004.7,18,0,0
Utilities,3467.87,14,0,0
Travel & Commute,5356.98,15,0,1
Hosting & Software,5853.84,11,0,0
Hosting & Software,8192.16,16,0,0
Hosting & Software,6978.42,10,0,0
Utilities,19763.74,4,0,1
Hosting & Software,9260.97,19,1,0
Office Supplies,1238.95,17,0,0
Utilities,3143.05,18,0,0
Office Supplies,744.18,17,0,0
Utilities,3138.15,11,0,0
Travel & Commute,115.22,18,0,0
Hosting & Software,5624.15,17,0,0
Food & Meals,940.1,9,0,0
Utilities,4128.64,17,0,0
Travel & Commute,685.09,18,0,0
Travel & Commute,406.6,16,0,0
Office Supplies,1480.92,16,0,0
Hosting & Software,7994.6,9,0,0
Utilities,2573.31,14,0,0
Food & Meals,1125.85,9,0,0
Hosting & Software,9316.04,17,0,0
Hosting & Software,7668.55,13,0,0
Utilities,3521.51,19,0,0
Utilities,3666.71,10,0,0
Food & Meals,239.57,12,0,0
Hosting & Software,7629.23,14,0,0
Food & Meals,579.5,9,0,0
Travel & Commute,399.68,12,1,0
Contractors,23594.5,11,0,0
Hosting & Software,10696.53,10,0,0
Food & Meals,910.21,10,0,0
Food & Meals,607.21,18,0,0
Food & Meals,4229.57,18,0,1
Travel & Commute,714.52,17,1,0
Utilities,4619.48,11,0,0
Travel & Commute,784.93,15,0,0
Utilities,3547.7,19,0,0
Office Supplies,1241.23,18,0,0
Food & Meals,924.56,15,0,0
Utilities,3814.79,11,0,0
Utilities,4216.15,19,0,0
Food & Meals,908.79,10,0,0
Food & Meals,1012.39,9,0,0
Utilities,3071.81,11,0,0
Travel & Commute,863.48,18,0,0
Utilities,3658.08,10,1,0
Contractors,35376.3,18,0,0
Office Supplies,1224.32,19,0,0
Utilities,4888.77,9,0,0
Food & Meals,799.48,16,0,0
Food & Meals,587.15,18,1,0
Travel & Commute,503.22,12,0,0
Office Supplies,1371.86,17,0,0
Travel & Commute,1610.48,23,1,1
Utilities,3839.33,9,0,0
Travel & Commute,704.57,14,0,0
Office Supplies,1270.52,19,0,0
Hosting & Software,7963.47,15,0,0
Utilities,5213.82,19,0,0
Travel & Commute,945.51,17,0,0
Hosting & Software,8654.49,16,0,0
Hosting & Software,8057.01,15,0,0
Contractors,25600.16,12,0,0
Contractors,28067.59,10,0,0
Food & Meals,494.3,17,0,0
Contractors,23713.12,11,0,0
Contractors,227906.93,16,0,1
Utilities,2165.13,10,0,0
Hosting & Software,68979.79,15,0,1
Utilities,3819.38,13,0,0
Utilities,28705.1,16,0,1
Office Supplies,1758.88,19,0,0
Utilities,3113.45,9,0,0
Utilities,4759.19,12,0,0
Contractors,206877.39,11,0,1
Office Supplies,1009.69,15,0,0
Food & Meals,383.91,12,0,0
Contractors,26122.26,10,0,0
Contractors,30235.49,18,0,0
Hosting & Software,10525.89,12,0,0
Food & Meals,635.28,13,0,0
Utilities,4362.94,10,0,0
Hosting & Software,7942.24,17,0,0
Utilities,3361.9,18,0,0
Food & Meals,970.91,18,0,0
Travel & Commute,730.46,16,0,0
Utilities,2238.89,16,0,0
Office Supplies,2090.62,12,0,0
Travel & Commute,876.02,15,0,0
Utilities,2999.55,13,0,0
Office Supplies,1658.32,14,1,0
Travel & Commute,698.81,14,0,0
Utilities,3708.54,19,0,0
Travel & Commute,489.94,12,0,0
Travel & Commute,465.68,12,0,0
Travel & Commute,594.89,14,0,0
Office Supplies,1969.09,10,0,0
Contractors,27718.0,9,0,0
Utilities,3203.51,16,0,0
Hosting & Software,9157.55,18,0,0
Food & Meals,100.0,17,0,0
Travel & Commute,829.75,11,1,0
Food & Meals,315.07,17,1,0
Hosting & Software,7456.34,19,0,0
Food & Meals,470.08,17,0,0
Contractors,45403.21,23,1,1
Office Supplies,982.13,18,0,0
Travel & Commute,832.17,12,0,0
Utilities,3125.84,11,0,0
Travel & Commute,669.3,14,0,0
